"subject","subjectLabel","researcher","researcherLabel"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/5413","Fernández, Jaime, 1938-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/76876","Damiani, Bruno Mario"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/31","Menéndez y Pelayo, Marcelino, 1856-1912"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/3869","Schevill, Rudolph, 1874-1946"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/3870","Bonilla y San Martín, Adolfo, 1875-1926"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/corporatebody/4247","Biblioteca Virtual Miguel de Cervantes"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/3698","Rodríguez Almodóvar, Antonio, 1941-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/5466","Rodríguez Gutiérrez, Borja, 1958-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/146","Fernández de Navarrete, Martín, 1765-1844"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/5464","Sánchez, José Rogerio"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2670","Medina, José Toribio, 1852-1930"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/3272","Álvarez Barrientos, Joaquín"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/5918","Ghiano, Juan Carlos"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/3002","Patiño Eirín, Cristina"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/555","Vega, Ventura de la, 1807-1865"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2977","Zamora Vicente, Alonso, 1916-2006"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/3622","Sevilla Arroyo, Florencio"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2829","Molíns, Mariano Roca de Togores, Marqués de, 1812-1889"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/5609","Lanuza, José Luis, n. 1903"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2987","Eisenberg, Daniel, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/5676","Welles, Orson, 1915-1985"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/5677","Aubrey, Daniel"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/3601","Cobos, Juan"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/corporatebody/5361","Compañía Nacional de Teatro Clásico (España)"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/5821","Cruz Casado, Antonio, 1951-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/3035","García Castañeda, Salvador, 1932-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/5842","Nállim, Carlos Orlando"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/23036","Vega García-Luengos, Germán, 1953-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/3372","Díez de Revenga, Francisco Javier, 1946-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/5896","González, Aurelio, 1967-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/3620","Azcona, Rafael, 1926-2008"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/207","Alcalá Galiano, Antonio, 1789-1865"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/4810","Boadella Oncins, Albert"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/3713","Cerrillo Torremocha, Pedro César"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/619","Mayans y Siscar, Gregorio, 1699-1781"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/5157","Sánchez Noriega, José Luis"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/3257","Roa Bastos, Augusto, 1917-2005"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/4800","Escobar Bonilla, Mª del Prado"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/corporatebody/4687","Els Joglars (Grupo teatral)"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/241","Quintana, Manuel José, 1772-1857"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/6554","Rey Hazas, Antonio"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/4424","Cañas Murillo, Jesús"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/7393","Ledesma Hernández, Antonio, 1856-1937"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2944","Azorín, 1873-1967"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/6748","Pasamonte, Jerónimo de, 1553-1604"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/7582","Pahissa Laporta, Jaime, 1846-1928"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/4156","Glantz, Margo, 1930-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/6769","Canavaggio, Jean"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/corporatebody/6919","Biblioteca de Catalunya"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/corporatebody/6828","L'Om-Imprebís (Grupo de teatro)"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/5301","Boada, Xavier"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/5295","Fontserè, Ramon"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/4766","Marasso, Arturo, 1890-1970"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/6892","Sáenz, Pilar"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/6975","García Velasco, Antonio"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/6961","Gerchunoff, Alberto, 1883-1950"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/7110","Urrabieta"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/7120","Penas, Ermitas"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/7130","Monner Sans, R., 1853-1927"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/2970","Vargas Llosa, Mario, 1936-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/7264","López Sarmiento, Domingo"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/4246","López Mozo, Jerónimo, 1942-"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/7344","Rodríguez Rodríguez, Begoña"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/5387","Blanco Rubio, Petra-Jesús"
"http://data.cervantesvirtual.com/person/40","Cervantes Saavedra, Miguel de, 1547-1616","http://data.cervantesvirtual.com/person/7468","Encisa Orellana, Julia"
